Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
33087c9ee429caa93c4a662064c90fb1,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,,,,,,,0,26,0,0,0,0,0,0,0,0,0,0
779a51cf140bc688da35383cba5b509a,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales,f__Azospirillaceae,g__Niveispirillum,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4
58d3e50ab2559795bc8a69b6bd626e92,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,,,,,,,,,,,0,0,0,0,0,0,0,5,0,0,0,0
c76cb3f6eb8348ae94e4a486387ca15a,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Phaselicystidaceae,g__Phaselicystis,s__metagenome,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
6b06a910f622811abeb891d5d6a72754,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Absconditabacteriales_(SR1),f__Absconditabacteriales_(SR1),g__Absconditabacteriales_(SR1),s__uncultured_candidate,,,,,,,0,0,0,0,0,0,0,0,0,0,0,4
aa485e01685b10d58fda3b86f33412dc,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Spirochaeta_2,s__Spirochaeta_aurantia,,,,,,,0,0,0,0,0,0,0,8,0,0,0,0
227949b2e15715413b9ccc8169c97134,d__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Vicinamibacterales,f__Vicinamibacteraceae,g__Luteitalea,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,17,0,0,0,0
9b13fa4948cd7bcb56dd1d90bd988fe1,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0
5e97d66f435813911649eaed0742f54e,d__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__SJA-15,g__SJA-15,s__uncultured_bacterium,,,,,,,0,0,0,0,0,0,0,8,0,0,0,0
ae76fec3365974c561541f30aefc2842,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,,,,,,,,0,23,0,0,0,0,0,0,0,0,0,0
c6241bcb3f933be6c7b1c8f98394f845,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__uncultured,,,,,,,,0,0,0,0,0,0,0,5,0,0,0,0
