# Constructed from biom file
#OTU ID	NuBotR1	NuBotR2	NuBotR3	NuTopR1	NuTopR2	NuTopR3	NyBotR1	NyBotR2	NyBotR3	NyTopR1	NyTopR2	NyTopR3
e8cfa4c5bdfd2fad37c8d7efd6e9a5d6	194.0	147.0	88.0	314.0	367.0	132.0	208.0	32.0	89.0	511.0	1505.0	588.0
fa804319e155777e97a34ccdfcb6856e	480.0	39.0	32.0	203.0	931.0	917.0	561.0	61.0	29.0	57.0	278.0	582.0
48be23a8c2a27d13cc2c29d1af97021d	1351.0	26.0	26.0	242.0	449.0	49.0	406.0	141.0	76.0	616.0	266.0	468.0
1978f4df5fe6cf62066e9d114b9dc158	879.0	92.0	69.0	586.0	254.0	365.0	278.0	601.0	136.0	409.0	186.0	232.0
c87d0ab024f91f9802422f782f6d599f	118.0	0.0	0.0	341.0	526.0	99.0	227.0	0.0	0.0	269.0	1722.0	774.0
47e7f4e56e4c4419a160c4ca19a09057	238.0	23.0	12.0	646.0	791.0	1242.0	593.0	141.0	0.0	30.0	103.0	170.0
7396ae5c46a04ca2e51aeb434b538ee4	517.0	139.0	58.0	96.0	105.0	75.0	36.0	169.0	2037.0	359.0	170.0	51.0
38f2a1d43fb4ab9fe7ecd305f12eaa52	223.0	22.0	44.0	152.0	133.0	719.0	0.0	11.0	51.0	1453.0	319.0	441.0
709784d7e2aef8241e1d3475ce976742	238.0	44.0	42.0	661.0	459.0	457.0	902.0	0.0	25.0	37.0	138.0	542.0
4fb4be24dfbc56d883e1ec8f222565b3	704.0	34.0	536.0	166.0	1060.0	293.0	52.0	122.0	307.0	13.0	122.0	42.0
ce9ed7e4bc01d490059cf2014f51c2a4	252.0	61.0	44.0	694.0	597.0	250.0	163.0	773.0	91.0	85.0	93.0	282.0
1b53a03e3f8afd9fd2fe3fc93814428f	528.0	39.0	13.0	536.0	292.0	737.0	314.0	86.0	0.0	169.0	215.0	434.0
124966f9ab4dbbafdf9564260693b3f6	242.0	0.0	0.0	257.0	531.0	326.0	165.0	50.0	24.0	171.0	187.0	1402.0
354b017e48b13f01f84fd296825aab4e	11.0	833.0	1130.0	399.0	210.0	35.0	214.0	159.0	126.0	0.0	0.0	192.0
544e20eaf68b184b7337fcfdbe4d435b	204.0	16.0	26.0	213.0	698.0	549.0	151.0	180.0	0.0	81.0	571.0	383.0
41a5b219e13f191c3deb635c2b1cbba4	0.0	61.0	298.0	415.0	526.0	148.0	564.0	857.0	74.0	0.0	27.0	34.0
b7958a01d7331ce9183c444b272677d6	0.0	28.0	0.0	2400.0	199.0	0.0	152.0	54.0	0.0	0.0	59.0	78.0
eb3e1cbb1a3cf533b03e0d2677f53a05	85.0	9.0	62.0	235.0	563.0	426.0	428.0	47.0	22.0	0.0	271.0	817.0
2da7703c3c29b15a81fd56418ef941c7	504.0	0.0	0.0	75.0	175.0	0.0	788.0	0.0	0.0	836.0	509.0	76.0
