Feature.ID,BS1,BS2,BS3,BW1,BW2,BW3,kingdom,phylum,class,order,family,genus,species,Consensus
365fbb8e9dbab7162750f0d1bdb9570f,0,0,0,278,0,0,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Lipomycetaceae,,,0.636
44c7a4b76a993eea4dc5892e8dbfafbd,0,0,0,167,111,0,k__Fungi,,,,,,,0.75
916c1a0d5a3ae93415d9dd64fff0fc3e,0,0,0,0,256,0,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
19a589137fa7068ad1806935d60a0582,79,162,9,4,0,0,k__Fungi,,,,,,,0.75
035dc2d6f9b2217977b7f647ffe84fa0,0,0,0,247,0,7,k__Fungi,p__Basidiomycota,c__Geminibasidiomycetes,o__Geminibasidiales,f__Geminibasidiaceae,g__Geminibasidium,s__Geminibasidium_sp,0.727
81a668e1fd7508e81f9d152e83e67e02,0,0,0,0,0,250,k__Fungi,p__Basidiomycota,,,,,,0.6
4dd66c77da560803cbca01d07c4b5cd8,0,0,0,0,247,0,Unassigned,,,,,,,0
15887df96fd3d61a06fa8eed7c2a9fa7,8,7,74,0,126,21,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Microascales,f__Microascaceae,g__Scedosporium,,0.667
123698ed08e74b8669b0bef947d974c3,0,0,0,89,0,145,k__Fungi,,,,,,,0.6
6173a7507c99e278e57433e92f37f743,0,0,0,0,124,103,Unassigned,,,,,,,0
0df985ef15134e66bb8d6f5e6123bfda,0,0,0,90,0,129,Unassigned,,,,,,,0
822454ce82dd706dcac6b06d42308264,0,0,0,194,0,24,k__Fungi,p__Ascomycota,,,,,,0.625
9fa867cbaf62e3536cf24a557b95b7db,0,0,0,217,0,0,k__Fungi,p__Ascomycota,,,,,,0.667
2c23d7d90e2d9922c0d484c5864335b1,164,18,30,0,0,0,k__Fungi,p__Basidiomycota,,,,,,0.6
bc057cb673ba3deb50ca46b4eb6329e3,0,0,0,81,127,0,k__Fungi,,,,,,,0.75
743a814a2e518bd0e82cf46e21732082,0,0,0,16,170,22,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Amphisphaeriales,f__Pestalotiopsidaceae,g__Pestalotiopsis,,0.727
be90ccd41d48b863f87087d4aa08ff9d,9,4,91,98,4,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Ganodermataceae,g__Ganoderma,,0.769
d38f6e2670e1b968670732c352d76a0b,0,0,0,0,201,0,Unassigned,,,,,,,0
1b124e269193a061d4c2743e52f2fea1,0,0,0,63,0,137,k__Fungi,,,,,,,0.6
5a1d0f196065885f809a112078378cd5,14,0,20,40,72,53,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Physalacriaceae,g__Armillaria,s__Armillaria_mellea,0.818
7c0a413d22fb039eb209d82133f0f0d9,0,0,0,0,0,197,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Rhodotorula,,0.909
5b3af202338b5cf1615cd0083e28c3e2,0,0,0,84,2,108,k__Fungi,,,,,,,0.667
cdda2046f59ae38701b80364d0aba23f,0,0,0,192,0,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,,,0.909
0151ee01b473ccf312f4b51d7a14267f,25,103,62,0,0,0,k__Fungi,,,,,,,0.75
12048b75ae01e44c444ba255ac6e6155,13,13,13,54,41,55,k__Fungi,,,,,,,0.75
7bba618f8bcfad0574c9f16bbe950aaa,11,10,0,62,53,50,Unassigned,,,,,,,0
67d20cc03a24d1288f5224beee238799,0,0,0,0,185,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Peziza,s__Peziza_sp,0.636
14a831fd8bbf088fc01e140579794abc,94,64,26,0,0,0,k__Fungi,,,,,,,0.75
d296c5e514dfe3cf4aa92c03a9229f0f,9,0,0,0,90,84,k__Fungi,,,,,,,0.667
3c633be460c6d99b1a271a6658a49f73,0,0,183,0,0,0,k__Fungi,,,,,,,0.833
8c489997571a20ab523ba9a54cb6a5de,0,0,0,104,78,0,k__Fungi,p__Ascomycota,,,,,,0.6
a799dbcb6a01b08a03c6e9f63607d22f,18,10,10,46,25,69,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,o__Sporidiobolales,f__Sporidiobolaceae,g__Sporobolomyces,,0.636
24e533af03d801c9d5148100a13b0d7a,0,0,0,0,0,176,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
f54a8c7993a7cb39098f49cd4069fc14,174,0,0,0,0,0,k__Fungi,,,,,,,0.6
10d2a08f68f507fa919e6dbe082680c9,0,0,0,0,0,170,Unassigned,,,,,,,0
53bee103eb7aae9b55c782d7a75315fc,0,0,0,168,0,0,k__Fungi,p__Mucoromycota,c__Umbelopsidomycetes,o__Umbelopsidales,f__Umbelopsidaceae,g__Umbelopsis,s__Umbelopsis_sp,0.833
343cd0bcf3fe6e4e4c5de57fec8c2307,0,0,0,165,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,,,,0.667
b6a20dccaff359a64577d6288058120f,0,8,12,69,34,40,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Polyporaceae,g__Trametes,,0.545
935a3830543766ecc1ac0de0dc8d11a0,0,0,0,0,0,162,k__Fungi,p__Basidiomycota,,,,,,0.571
6d775baf6b8528b0b0dd5bcb5bedc801,0,0,0,161,0,0,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Lipomycetaceae,,,0.636
af39969b585bbf148684aea497a156f0,0,0,0,26,135,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,,0.556
121883c68bcc9b22603727368dc48a5e,40,5,115,0,0,0,k__Fungi,,,,,,,0.6
13ce2a75613de3748509b844a18f8185,0,0,0,81,0,77,k__Fungi,p__Basidiomycota,c__Microbotryomycetes,,,,,0.6
49666b838337ef4553cc513fa364e83f,0,0,0,56,102,0,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,g__Phaeosphaeria,,0.636
e7f1f451981e00c1de72f9475e7041ac,0,0,0,152,0,5,k__Fungi,p__Ascomycota,,,,,,0.6
5ecc6e5def7382904de281ebbd8f74d7,0,0,0,0,154,0,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,f__Helotiaceae,g__Meliniomyces,s__Meliniomyces_sp,0.727
19fb3bca9e3baa63387dfbe0fc418947,40,6,5,31,31,40,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,1
968992fc75554f39fb4d60aebced3050,92,0,0,0,0,60,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp,0.667
bf5b3d89020b717ed5a86a0ad6f1c568,103,32,0,0,0,16,k__Fungi,p__Fungi_phy_Incertae_sedis,c__Fungi_cls_Incertae_sedis,o__Fungi_ord_Incertae_sedis,f__Fungi_fam_Incertae_sedis,g__Fungi_gen_Incertae_sedis,s__Fungi_sp,0.583
de6a84292c5fd3285eb5f4f82535c50f,0,13,0,55,33,48,Unassigned,,,,,,,0
1a113b23abe490bb30b6e697ccba7ca1,0,0,149,0,0,0,k__Fungi,,,,,,,0.75
966e572ed38b3f6d01bb27ed0a5b5428,128,16,3,0,0,0,k__Fungi,,,,,,,0.571
8ed7b5a138499a688d0a3d9183716712,0,0,0,24,0,123,k__Fungi,,,,,,,0.75
4c3e54b4a8de3545d94312e2b3183520,0,0,0,146,0,0,k__Fungi,,,,,,,0.75
f95cd70d577f8dde0fe2aeb5f71a9806,8,11,13,24,41,48,k__Fungi,,,,,,,0.833
6e1156e5c8da0d594ba3aa1c459473d9,0,0,0,0,144,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizales_fam_Incertae_sedis,g__Pezizales_gen_Incertae_sedis,s__Pezizales_sp,0.833
3e0d2885b5869b2f0729da20d39dba26,0,0,0,142,0,0,k__Fungi,p__Ascomycota,,,,,,0.778
d436a8beee80202a240ee7bf28f04378,0,0,0,0,0,142,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
cf253d91e45394aee737281149dc99c1,0,0,0,138,0,0,k__Fungi,,,,,,,0.667
e3756e41e4b1b7c7ba3de2e61fc40a24,0,0,0,136,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Pilodermataceae,g__Piloderma,,0.636
2f9d48ce8982c7bbb7fb55fae51b6a40,0,0,0,0,136,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Atheliales,f__Pilodermataceae,g__Piloderma,s__Piloderma_sp,0.545
3a1d147c3f77e2084a9e90fb33dad77b,0,77,57,0,0,0,k__Fungi,,,,,,,0.75
6656f5da1b4bb9e6c536ad37c7195896,0,0,0,134,0,0,k__Fungi,p__Ascomycota,,,,,,0.571
8a5f7fe9f68ef261f0a038f7d7c385e2,0,0,0,0,0,133,k__Fungi,,,,,,,0.667
42c304d113c7e00bf63ef403781e39ad,22,70,36,0,0,0,k__Fungi,,,,,,,0.6
2bbb71f1d40674ccad6f77f87976f7f6,0,0,0,128,0,0,Unassigned,,,,,,,0
d1852eb4152adf8dfc63511990b2bb88,0,0,0,0,0,127,k__Fungi,,,,,,,0.6
de55ed2c9234d5d9ad067e572030adb1,27,0,4,14,81,0,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,o__Cystobasidiales,f__Cystobasidiaceae,g__Cystobasidium,,0.75
cab7e083a1d3769ce109244a16874581,0,0,0,0,0,125,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
784dd53c4b55cc0906b48362ae50fe54,0,0,0,124,0,0,k__Fungi,p__Ascomycota,c__Saccharomycetes,o__Saccharomycetales,f__Lipomycetaceae,,,0.636
993ca94e8ae3f80b76316b64b83be6cf,0,0,0,112,0,11,k__Fungi,p__Basidiomycota,c__Agaricomycetes,,,,,0.545
96fa52fca0062a94e2145448d6520878,0,0,0,0,0,123,k__Fungi,,,,,,,0.6
b2eaeeac1196851eee12652dd6f55342,0,0,0,122,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Boletales,f__Rhizopogonaceae,g__Rhizopogon,,0.75
ec6d31a2b928d42e9d01fbd6beb7cb97,0,0,0,0,121,0,k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Pezizaceae,g__Peziza,s__Peziza_sp,0.636
48ab73e46d6822c18a75816b4ce0fc4b,0,0,0,0,120,0,Unassigned,,,,,,,0
55d8c40e0dde208ab39e4ad57a33179d,0,0,0,0,0,120,Unassigned,,,,,,,0
d7d0f7d863512fdaa48a2ff66a8e21e8,0,0,0,0,117,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,,,0.769
afbce1215f2a5f1dcda206c6e8dc6a8e,0,0,0,0,0,117,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,g__Orbiliaceae_gen_Incertae_sedis,s__Orbiliaceae_sp,0.667
91ec979fca940b10e9f02624e1256ed8,26,0,0,37,31,21,k__Fungi,,,,,,,0.917
370380a7be5f7c36da3afd0017249bc3,0,0,115,0,0,0,k__Fungi,,,,,,,0.75
23c9efc05fbb40d00c341517908f89bc,0,0,0,115,0,0,k__Fungi,p__Ascomycota,,,,,,0.714
