Feature ID	Taxon	Consensus
034e0efcb98ac466e57976674cd353c1	Unassigned	1.0
034f508b3d5fb119985a493250db2241	Unassigned	1.0
0352adde17363a5d6b9435a785082633	Unassigned	1.0
0358c7ee2a4d62731d03aa3b8b10986f	Bacteria;Bacteria_X;Planctomycetes;Planctomycetacia;Planctomycetales;Rubinisphaeraceae;Rubinisphaeraceae_X;Rubinisphaeraceae_X_sp.;	1.0
0364954506e38bdace48e1de75c7ce98	Bacteria;Bacteria_X;Planctomycetes;Planctomycetacia;Planctomycetales;Rubinisphaeraceae;Rubinisphaeraceae_X;Rubinisphaeraceae_X_sp.;	1.0
03878d82501b8fd74d068a8777a79d3b	Unassigned	1.0
0387fc97ca93d5c5ef607f1581d0b5fd	Unassigned	1.0
03a68a1a97ccb6be78d78fb59b0b74dd	Bacteria;Bacteria_X;Planctomycetes;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;WD2101_soil_group_X;WD2101_soil_group_X_sp.;	1.0
03b4ad5541a371b1c16b8d17a10b2edc	Unassigned	1.0
03c8eed88f431b5304bad91198a5cd23	Bacteria;Bacteria_X;Armatimonadetes;Fimbriimonadia;Fimbriimonadales;Fimbriimonadaceae;Fimbriimonadaceae_X;Fimbriimonadaceae_X_sp.;	1.0
03cccf8241e4d07144627f2976b2ff28	Unassigned	1.0
03f2b69970399e1fadda375a19a121a8	Bacteria;Bacteria_X;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Herbinix;Herbinix_sp.;	1.0
040333b58a3103787b9da6e8730b8576	Bacteria;Bacteria_X;Proteobacteria;Deltaproteobacteria;Myxococcales;Blfdi19;Blfdi19_X;Blfdi19_X_sp.;	1.0
040822c523263eba0eaa5d7139e1eb80	Unassigned	1.0
0408232e7381f4ef380a4d4697ba1773	Unassigned	1.0
040e19f780d97181cd979af64eccb675	Bacteria;Bacteria_X;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetales_X;Planctomycetales_XX;Planctomycetales_XX_sp.;	1.0
042424f915de8c853c56a7385a419d69	Bacteria;Terrabacteria;Cyanobacteria;Cyanophyceae;Nostocales;Nostocaceae	0.571
0426b33c3d57e2acbf2e560f4ec9b1aa	Unassigned	1.0
042abe66aa45452d152f43ba71d25d14	Unassigned	1.0
0431358232d0d8a837cbaf25e648f755	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae	1.0
043c595cbe1c22de5f46c019ecd224e6	Unassigned	1.0
044611835da2952ce738d10805246044	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Alphaproteobacteria_X;Alphaproteobacteria_XX;Alphaproteobacteria_XXX;Alphaproteobacteria_XXX_sp.;	0.667
0447eb8211c6aa309846bf2cc9bf942e	Unassigned	1.0
044d911e5edaeefb0dd41b4a9023b180	Unassigned	1.0
0450215be51139e4db0f53fc3367a7f2	Bacteria;Bacteria_X;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae	1.0
0463b3cb41179ab7c81da08e39fae652	Unassigned	1.0
04651b48b727f4ac36275440b0092c9a	Unassigned	1.0
0471a49baf4a85e372519a9e26d10f24	Bacteria;Bacteria_X;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae	0.6
04be9147ba38c3e953aa8a85d2430120	Unassigned	1.0
04bf6a016325663401e2ff493143fb86	Unassigned	1.0
04d17c0a79a5c0ae0a4f836ec66fd60f	Unassigned	1.0
04d696d87864aa5321874c51fb384786	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium_sp.;	1.0
04e11c34f2023d79f6fdd1682a3e12f1	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;Serratia_sp.;	0.6
04ec46939de7b5cda8b557a6b521a400	Bacteria;Bacteria_X;Actinobacteria;Actinobacteria_X;Frankiales;Sporichthyaceae;hgcI_clade;hgcI_clade_sp.;	1.0
04fdcf6abfa05c0a6e99d90ba32da135	Unassigned	1.0
0508bb1cc0a18d7f0f44c33ff8d454c8	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;Roseomonas_sp.;	0.889
0509c2ba50a2885286a759cf83aa796b	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonaceae;Methylomonas;Methylomonas_sp.;	0.6
0510daf03457334c488ac19a95c4f358	Unassigned	1.0
0519996b521f3a372dd9ba2f00b00498	Bacteria;Bacteria_X;Bacteroidetes;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Fluviicola_sp.;	1.0
051cc2c545f0773db22b9bec0043d6ca	Unassigned	1.0
0538a31fa349c7d8b6228f2192b174bd	Unassigned	1.0
0542be3890a677ce8f2ab805960cb784	Unassigned	1.0
05c9856d14e671be05f5973aba30e4f9	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;Micavibrionaceae_X;Micavibrionaceae_X_sp.;	1.0
05dcc1fe41fff6b80d61283449fe9b34	Unassigned	1.0
05f18019ba27d67900bd9aa775296e0c	Bacteria;Bacteria_X;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae_X;Veillonellaceae_X_sp.;	1.0
05f32ae220ac0ea2818d33a767aaa741	Unassigned	1.0
05f7b26d18138a5b0a0e9939debb07b1	Unassigned	1.0
0619c2311e4570753c7c91973dece67f	Bacteria;Bacteria_X;Actinobacteria;Actinobacteria_X;Micromonosporales;Micromonosporaceae;Actinoplanes;Actinoplanes_sp.;	1.0
06262b243eb253fe4696367e020cd2a7	Unassigned	1.0
063a5fb2cab477647704569c587b1ca8	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;SWB02;SWB02_sp.;	1.0
0641e0f1007c8f7bd1b99d37880f0b26	Unassigned	1.0
0657f1176c54857ccc18b69b469ae93d	Unassigned	1.0
06625a3320ffdf35cf933c798257f534	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae	0.9
0669a8d60a99531c5ca324073b702cfd	Unassigned	1.0
067042833f5d929c33591316f680ef0f	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Gammaproteobacteria_Incertae_Sedis_X;Gammaproteobacteria_Incertae_Sedis_XX;Gammaproteobacteria_Incertae_Sedis_XX_sp.;	1.0
067733eeb9f96809bcb0605eb478362e	Bacteria;Bacteria_X;Planctomycetes;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;WD2101_soil_group_X;WD2101_soil_group_X_sp.;	1.0
06824e9ed55ea3595cdb9305d729b3bd	Unassigned	1.0
06a6ce192c08fbce4a964cb1db4f996f	Unassigned	1.0
06cd1d8d895354cab48860fc639247c2	Bacteria;Bacteria_X;Bacteroidetes;Ignavibacteria;OPB56;OPB56_X;OPB56_XX;OPB56_XX_sp.;	1.0
06df21778e00742ecfa7963655356832	Bacteria;Terrabacteria;Cyanobacteria;Cyanophyceae;Caenarcaniphilales;Caenarcaniphilales_X;Caenarcaniphilales_XX;Caenarcaniphilales_XX_sp.;	1.0
06e1248830e744610194966addaece99	Bacteria;Bacteria_X;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium_sp.;	1.0
0703f65a5fdd2c4828863da6529ba33e	Archaea;Archaea_X;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaeraceae_X;Nitrososphaeraceae_X_sp.;	0.7
076bc3ba6834fed259f70b8df005f457	Bacteria;Bacteria_X;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae	1.0
07785a14ab7d74e255f424a893cc564d	Eukaryota:plas;Archaeplastida:plas;Chlorophyta:plas;Chlorophyceae:plas;Oedogoniales:plas;Oedogoniales_X:plas;Oedogonium:plas;Oedogonium_cardiacum:plas;	1.0
077c595c400321107ec4007b1236b01f	Bacteria;Bacteria_X;DeinococcusThermus;Deinococci;Deinococcales;Trueperaceae;Truepera;Truepera_sp.;	1.0
0788a3eb327ce850764596bc019222b8	Unassigned	1.0
