Feature.ID,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3,kingdom,sub_kingdom,phylum,class,order,family,genus,species,Consensus
b8606faeb35ff237620f6ef3788d1a38,0,19,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium_sp.,1
9b5a54279f4712b9cf65ab83fbbfd6fa,0,19,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Polaromonas,Polaromonas_sp.,0.6
785bdfcd5ece71f1498c3372395ab08f,0,19,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
2c98cadb975785b82f7309607ec1fa4e,0,19,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
efa83d37c8b100b0f2f2f2def592bab1,0,15,4,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
040333b58a3103787b9da6e8730b8576,5,14,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,Blfdi19_X,Blfdi19_X_sp.,1
88a9003c92b246f3145f547ca0b03b52,6,13,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
2d9ebcbf1146f8184cfef1b42d950685,6,13,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
53cecf2e292bfae5402676c4d767ef76,0,11,0,0,0,0,0,0,0,0,0,8,Bacteria,Bacteria_X,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Pedosphaeraceae_X,Pedosphaeraceae_X_sp.,1
c59ff12e7a21694561412f97dbd8a0a6,9,10,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Chloroflexi,Anaerolineae,SJA15,SJA15_X,SJA15_XX,SJA15_XX_sp.,0.667
d07781b3a6c3c034128df614296f9168,0,8,3,0,0,0,8,0,0,0,0,0,Unassigned,,,,,,,,1
675245e3cb010abafd748ac8d069ae9f,12,7,0,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
22958d8ab68e2cf722762b9a8fe98cbc,0,0,19,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
5e0e927180a9fadf41fb9e43a1c8bad8,0,0,19,0,0,0,0,0,0,0,0,0,Unassigned,,,,,,,,1
7827d784246cabd2262e9d01c69e4819,0,0,19,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_X,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,,,0.8
