# Constructed from biom file
#OTU ID	NuBotR1	NuBotR2	NuBotR3	NuTopR1	NuTopR2	NuTopR3	NyBotR1	NyBotR2	NyBotR3	NyTopR1	NyTopR2	NyTopR3
e8cc4a200ba47c0bc59dd3cae3778fdf	29366.0	846.0	1405.0	6005.0	51951.0	42810.0	890.0	103800.0	37167.0	92883.0	31477.0	290.0
68b4c9adac6e05920d434e6c3989f560	0.0	59610.0	16558.0	1997.0	0.0	2427.0	1872.0	0.0	0.0	0.0	0.0	1580.0
8dd9071e4c6d8938e7d47ef2115781dd	2955.0	236.0	194.0	4017.0	14556.0	6792.0	8234.0	1508.0	687.0	2706.0	5717.0	10258.0
8cad3c354a20ac3b9596592b5c370552	1238.0	89.0	149.0	2393.0	3829.0	261.0	1029.0	105.0	434.0	7797.0	5150.0	28945.0
b07fbb1ce47b87ccbeedb6968d3d0aa6	0.0	350.0	41689.0	153.0	0.0	0.0	0.0	0.0	194.0	0.0	154.0	156.0
e22f4390b48e6be3a0b4759c0ff4bd6e	13580.0	233.0	129.0	5073.0	1485.0	895.0	1498.0	160.0	254.0	2673.0	1702.0	8369.0
6ecaf006d1e7ce61548cb35732426725	699.0	230.0	1073.0	10322.0	1928.0	230.0	1235.0	383.0	425.0	4712.0	7404.0	3247.0
a1d447000bcdb9ead75ae1785a00c959	985.0	171.0	339.0	4988.0	3235.0	3348.0	2807.0	1296.0	308.0	778.0	1311.0	2955.0
8ea5ddfcf36fd118e355099cc7ff9ba1	466.0	112.0	156.0	3660.0	4513.0	751.0	2255.0	174.0	180.0	1319.0	4565.0	2702.0
16b0c2cec1827184edcab222109ec161	2379.0	556.0	198.0	3773.0	2864.0	1121.0	1392.0	1640.0	449.0	1378.0	1183.0	1459.0
78c938a7231d0c8777e1ff70d7de0ae5	2384.0	1303.0	327.0	1380.0	579.0	831.0	618.0	3704.0	1987.0	589.0	463.0	195.0
e0d7ed89232fd68bff5f2cbb065c6789	362.0	0.0	83.0	956.0	601.0	161.0	2440.0	0.0	179.0	1188.0	2254.0	6135.0
1b639777ae951aecafda7b36472eb6c9	1621.0	84.0	0.0	1691.0	1506.0	138.0	399.0	1185.0	112.0	2354.0	2510.0	1796.0
cf53aff95aac1fadec702fa06d2970aa	998.0	2479.0	790.0	311.0	752.0	379.0	185.0	1585.0	4039.0	386.0	598.0	166.0
495acd01469b968aaa60c491f64a41f0	627.0	369.0	109.0	1517.0	2980.0	417.0	914.0	429.0	281.0	310.0	2388.0	2171.0
311ffe8970234e21f23a87200f53a7c8	2259.0	214.0	80.0	991.0	1601.0	1138.0	1557.0	465.0	267.0	1016.0	1421.0	1105.0
a7d92dbcf07b8b84c2a6130e863c0387	651.0	41.0	337.0	981.0	2292.0	953.0	1117.0	318.0	84.0	1467.0	2521.0	1331.0
c1dc3af5ed5f76b349dec2be030e8285	0.0	42.0	94.0	3410.0	860.0	206.0	187.0	0.0	89.0	0.0	5645.0	1281.0
77f2b2a62bb0b10aba6e0d7cdb39fb9c	2870.0	68.0	88.0	1769.0	1152.0	1296.0	480.0	1111.0	0.0	716.0	628.0	1372.0
5b0313d7d50a41f0adb496290078423b	1382.0	132.0	587.0	2187.0	504.0	2357.0	1494.0	1432.0	164.0	185.0	375.0	600.0
3005861b56db3bfb37037102c52c4a41	0.0	0.0	75.0	1330.0	371.0	451.0	1064.0	0.0	153.0	214.0	6737.0	146.0
27faf24d4a735b5754c86267cf5df7d1	191.0	0.0	0.0	664.0	481.0	117.0	1506.0	75.0	142.0	771.0	1494.0	4122.0
48cfb1184721e1dc6daaa94a8894f870	2033.0	25.0	14.0	797.0	1126.0	561.0	347.0	412.0	97.0	1233.0	1933.0	399.0
0aeb5a03421ccac771993e3c8d9df3b2	100.0	0.0	0.0	938.0	578.0	126.0	0.0	0.0	91.0	438.0	5241.0	1350.0
