Feature.ID,kingdom,phylum,class,order,family,genus,species,BS1,BS2,BS3,BW1,BW2,BW3,NuBotR1,NuBotR2,NuBotR3,NuTopR1,NuTopR2,NuTopR3,NyBotR1,NyBotR2,NyBotR3,NyTopR1,NyTopR2,NyTopR3
18681542b350ad6afa1c6acfd3b54186,d__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__Bathyarchaeia,f__Bathyarchaeia,g__Bathyarchaeia,s__uncultured_methanogenic,17,0,9,0,0,0,,,,,,,,,,,,
1c26c1910f4a5624d34e527f88a1d7ad,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Amoebophilaceae,g__Candidatus_Amoebophilus,s__microbial_mat,0,0,210,0,0,0,,,,,,,,,,,,
f7869976314389550cad4fabfed956e4,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__uncultured,g__uncultured,s__metagenome,0,0,3,0,0,0,,,,,,,,,,,,
43499961917e39e10972795c360e1349,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_Incertae_Sedis,g__Phreatobacter,s__uncultured_Alphaproteobacteria,0,11,0,0,0,0,,,,,,,,,,,,
53fe6a3ff577a3b3908bce3d68146a0b,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__planctomycete_str.,0,0,44,0,0,0,,,,,,,,,,,,
80627e219fc8898f07a73f4299b9c0e6,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,"","",94,754,190,0,0,0,,,,,,,,,,,,
2cb9333bd5b57af45913851178cbaa37,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Micavibrionales,f__uncultured,g__uncultured,s__uncultured_bacterium,16,10,0,0,0,0,,,,,,,,,,,,
3ebe761bfb1238c87195d431f41bf976,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,"",0,22,0,51,59,77,,,,,,,,,,,,
370eb1d6a1adf0b656cedc31cdac702e,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Anaplasmataceae,g__Wolbachia,"",0,0,3,0,0,0,,,,,,,,,,,,
7a26fd89c291f9c81e97a41440d57cfd,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,"","","","",0,7,0,0,0,4,,,,,,,,,,,,
97a38547df193382c8e0dfdc9a7ca7fc,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,"",0,0,44,0,0,0,,,,,,,,,,,,
12687678bafbc03e25d0e64235bd0c88,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,"",62,90,885,0,0,0,,,,,,,,,,,,
f6769593d4661e31ccf288ce427f80f0,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__Roseimicrobium,s__uncultured_Verrucomicrobia,15,0,11,0,0,0,,,,,,,,,,,,
12b48e04ab0943eaf627efb2adf0926d,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__AKYH767,g__AKYH767,"",0,0,0,61,65,83,,,,,,,,,,,,
4e67ff3a18db7bbd1eebabbbaadfa993,d__Bacteria,p__Myxococcota,c__Polyangia,o__mle1-27,f__mle1-27,g__mle1-27,"",0,0,3,0,0,0,,,,,,,,,,,,
80a264749725412bca9175ee81130d55,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__SM2D12,g__SM2D12,"",0,5,6,0,0,0,,,,,,,,,,,,
0988b67ff002ba2d177174ea45b981a4,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,"","",0,0,44,0,0,0,,,,,,,,,,,,
13b6fe10adac49ecc9b14fe3058e7cc4,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Sediminibacterium,"",0,0,0,310,416,307,,,,,,,,,,,,
3131e04fa8662d97c55e7af49fa212ef,d__Bacteria,p__Proteobacteria,"","","","","",14,12,0,0,0,0,,,,,,,,,,,,
10c6be05d6083a0cc0b42290ff0cbc2e,d__Archaea,p__Halobacterota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanoregulaceae,g__Methanoregula,"",103,21,84,0,0,0,,,,,,,,,,,,
067edd728a7dc047699081f6bdc9bb8d,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__uncultured,s__uncultured_bacterium,0,0,3,0,0,0,,,,,,,,,,,,
89d1a584ed95ecabbae647d935697998,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__Parachlamydiaceae,g__Neochlamydia,s__metagenome,0,0,11,0,0,0,,,,,,,,,,,,
174e64fbae501dd1dc087f5d85448999,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,"","",0,0,44,0,0,0,,,,,,,,,,,,
e296ba1bd314cf26c122f9a591baab89,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__SC-I-84,s__uncultured_prokaryote,452,188,384,0,0,0,,,,,,,,,,,,
1beda0f3287f6e4f83009e37fc82e85b,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__WCHB1-41,f__WCHB1-41,g__WCHB1-41,s__uncultured_Verrucomicrobia,11,0,15,0,0,0,,,,,,,,,,,,
9d05014a16ab5a0ee4363d6de545af19,d__Bacteria,p__Desulfobacterota,c__Desulfobacteria,o__Desulfobacterales,f__Desulfosarcinaceae,g__Sva0081_sediment_group,s__uncultured_prokaryote,117,0,90,0,0,0,,,,,,,,,,,,
101d4136c5c1ce50a135ee5bb1d268c1,d__Bacteria,"","","","","","",0,0,3,0,0,0,,,,,,,,,,,,
7eee3464d651a0af4f14216bcaef2a37,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia,f__Hungateiclostridiaceae,g__Pseudobacteroides,s__uncultured_bacterium,0,0,11,0,0,0,,,,,,,,,,,,
98def88a6a2885f69e15a0812f122c9c,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__uncultured,"",0,0,44,0,0,0,,,,,,,,,,,,
32d0b229848093d86e4559e6d03a0690,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Devosiaceae,g__Devosia,"",384,576,36,0,0,26,,,,,,,,,,,,
16e560964fa028130627c432657c75ea,d__Bacteria,"","","","","","",8,18,0,0,0,0,,,,,,,,,,,,
26dbef51cdba97c1f8b84a235ea06f3c,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__Sphingomonas_wittichii,89,89,29,0,0,0,,,,,,,,,,,,
e04df2fff1d7a97a6ad521ae7354eade,d__Bacteria,p__Latescibacterota,c__Latescibacteria,o__Latescibacterales,f__Latescibacteraceae,g__Candidatus_Latescibacter,s__uncultured_Latescibacteria,0,0,3,0,0,0,,,,,,,,,,,,
bcc6da5f621cbdfc1f0c9becbac6cdff,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Paenarthrobacter,"",0,0,11,0,0,0,,,,,,,,,,,,
fe75f23505991f3d95419ba5aced7515,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,"","",0,0,44,0,0,0,,,,,,,,,,,,
7c5ab392f6ac41d560ca6575b6635d8f,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,"",49,157,816,0,0,0,,,,,,,,,,,,
293e1bb9dc5d22966c31b67ea8447358,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,"","","",6,7,13,0,0,0,,,,,,,,,,,,
17f70f39f64f127375861b0e6db0af96,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,"","",32,84,89,0,0,0,,,,,,,,,,,,
010ba80f0f04772739caf588205d790f,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Rubribacterium,"",0,0,3,0,0,0,,,,,,,,,,,,
e2d26eb96cfad6ab61ff513ec959421e,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Defluviicoccales,f__Defluviicoccaceae,g__Defluviicoccus,s__uncultured_bacterium,0,0,11,0,0,0,,,,,,,,,,,,
956cfd8072374c6cf6cf1353c5a9c7db,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__uncultured,"",0,0,44,0,0,0,,,,,,,,,,,,
4bcb7e0c62886dfe7257857923a77435,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__uncultured,g__uncultured,"",342,129,544,0,0,0,,,,,,,,,,,,
7675f76b34183b1341c9e22e6a27146c,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__Fimbriiglobus,"",5,21,0,0,0,0,,,,,,,,,,,,
